index,brand,model,image_absolute_path,source_url
214,Coach,HC6177,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\214_coach_hc6177.jpg,https://www.opsm.com.au/glasses/coach/hc6177/725125370530
215,Coach,HC6187,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\215_coach_hc6187.jpg,https://www.opsm.com.au/glasses/coach/hc6187/725125377232
216,Coach,HC6196U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\216_coach_hc6196u.jpg,https://www.opsm.com.au/glasses/coach/hc6196u/725125386791
217,Coach,HC6208U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\217_coach_hc6208u.jpg,https://www.opsm.com.au/glasses/coach/hc6208u/725125392372
218,Coach,HC6209U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\218_coach_hc6209u.jpg,https://www.opsm.com.au/glasses/coach/hc6209u/725125391986
219,Coach,HC6222U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\219_coach_hc6222u.jpg,https://www.opsm.com.au/glasses/coach/hc6222u/725125399654
220,Coach,HC6219U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\220_coach_hc6219u.jpg,https://www.opsm.com.au/glasses/coach/hc6219u/725125400459
221,Coach,HC6235U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\221_coach_hc6235u.jpg,https://www.opsm.com.au/glasses/coach/hc6235u/725125519991
222,Jimmy Choo,JC3032B,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\222_jimmy_choo_jc3032b.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3032b/8056262472774
223,Jimmy Choo,JC3017U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\223_jimmy_choo_jc3017u.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3017u/8056262030127
224,Jimmy Choo,JC3001B,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\224_jimmy_choo_jc3001b.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3001b/8056262040478
225,Jimmy Choo,JC3006U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\225_jimmy_choo_jc3006u.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3006u/8056262048030
226,Jimmy Choo,JC3019B,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\226_jimmy_choo_jc3019b.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3019b/8056262235232
227,Jimmy Choo,JC3008,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\227_jimmy_choo_jc3008.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3008/8056262029794
228,Jimmy Choo,JC3009,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\228_jimmy_choo_jc3009.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3009/8056262029640
229,Jimmy Choo,JC3011,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\229_jimmy_choo_jc3011.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3011/8056262029909
230,Jimmy Choo,JC3013U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\230_jimmy_choo_jc3013u.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3013u/8056262044407
231,Jimmy Choo,JC2003,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\231_jimmy_choo_jc2003.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc2003/8056262047965
232,Jimmy Choo,JC3012F,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\232_jimmy_choo_jc3012f.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3012f/8056262055342
233,Jimmy Choo,JC2002,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\233_jimmy_choo_jc2002.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc2002/8056262078754
234,Jimmy Choo,JC3022H,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\234_jimmy_choo_jc3022h.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3022h/8056262235850
235,Jimmy Choo,JC3005,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\235_jimmy_choo_jc3005.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3005/8056262040577
236,Jimmy Choo,JC3046U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\236_jimmy_choo_jc3046u.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3046u/8056262570333
237,Jimmy Choo,JC3052U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\237_jimmy_choo_jc3052u.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3052u/8056262577776
238,Jimmy Choo,JC2021,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\238_jimmy_choo_jc2021.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc2021/8056262845813
239,Jimmy Choo,JC3056,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\239_jimmy_choo_jc3056.jpg,https://www.opsm.com.au/glasses/jimmy-choo/jc3056/8056262851975
240,Michael Kors,Mk4149U Puglia,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\240_michael_kors_mk4149u_puglia.jpg,https://www.opsm.com.au/glasses/michael-kors/mk4149u-puglia/725125531382
241,Michael Kors,Mk4119U Nassau,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\241_michael_kors_mk4119u_nassau.jpg,https://www.opsm.com.au/glasses/michael-kors/mk4119u-nassau/725125517751
